fid,level
0,7
1,7
2,7
3,7
4,5
5,5
6,1
7,4
8,4
9,1
10,4
11,4
12,1
13,1
14,4
15,4
16,1
17,1
18,4
19,4
20,4
21,4
22,3
23,4
24,4
25,3
26,3
27,4
28,4
29,3
30,2
31,5
32,6
33,7
34,6
35,6
36,2
37,2
38,6
39,3
40,6
41,6
42,4
43,3
44,5
45,6
46,1
47,1
48,3
49,3
50,3
51,6
52,3
53,5
54,6
55,5
56,5
57,1
58,5
59,5
60,3
61,3
62,5
63,5
64,2
65,5
66,5
67,3
68,2
69,5
70,5
71,5
72,5
73,5
74,5
75,1
76,4
77,4
78,4
79,4
80,6
81,2
82,4
83,3
84,3
85,4
86,4
87,4
88,4
89,4
90,4
91,6
92,4
93,4
94,4
95,4
96,4
97,6
98,1
99,6
100,4
101,6
102,4
103,4
104,1
105,3
106,3
107,6
108,3
109,2
110,3
111,1
112,3
113,4
114,4
115,6
116,4
117,3
118,3
119,4
120,3
121,3
122,4
123,4
124,4
125,5
126,4
127,4
128,3
129,4
130,4
131,4
132,6
133,3
134,3
135,4
136,4
137,4
138,4
139,6
140,4
141,4
142,7
143,7
144,7
145,3
146,3
147,3
148,1
149,4
150,2
151,4
152,1
153,1
154,3
155,1
156,3
157,3
158,1
159,1
160,1
161,3
162,1
163,3
164,3
165,3
166,1
167,1
168,1
169,1
170,3
171,1
172,3
173,3
174,6
175,3
176,6
177,3
178,6
179,2
180,6
181,6
182,4
183,3
184,4
185,4
186,3
187,4
188,4
189,6
190,4
191,4
192,6
193,2
194,3
195,3
196,3
197,4
198,3
199,3
200,3
201,4
202,3
203,4
204,4
205,4
206,4
207,4
208,6
209,3
210,4
211,4
212,4
213,4
214,4
215,3
216,3
217,3
218,3
219,3
220,4
221,4
222,3
223,4
224,6
225,4
226,6
227,2
228,6
229,2
230,6
231,4
232,4
233,4
234,6
235,5
236,7
237,7
238,7
239,5
240,5
241,3
242,5
243,3
244,5
245,5
246,5
247,5
248,4
249,3
250,4
251,4
252,2
253,1
254,5
255,1
256,3
257,4
258,3
259,3
260,2
261,2
262,7
263,1
264,1
265,3
266,3
267,3
268,1
269,1
270,3
271,3
272,3
273,1
274,1
275,2
276,2
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,4
299,4
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,4
309,4
310,1
311,1
312,1
313,1
314,2
315,2
316,2
317,2
318,1
319,2
320,2
321,1
322,2
323,4
324,4
325,4
326,2
327,2
328,2
329,1
330,2
331,2
332,1
333,2
334,2
335,1
336,2
337,2
338,1
339,2
340,2
341,1
342,1
343,2
344,2
345,1
346,5
347,1
348,5
349,5
350,5
351,6
352,6
353,4
354,2
355,1
356,3
357,5
358,3
359,5
360,5
361,1
362,5
363,2
364,2
365,2
366,2
367,1
368,6
369,5
370,5
371,1
372,2
373,5
374,1
375,5
376,5
377,3
378,6
379,5
380,6
381,5
382,3
383,1
384,1
385,1
386,5
387,1
388,5
389,1
390,5
391,1
392,3
393,5
394,5
395,3
396,1
397,3
398,4
399,4
400,3
401,3
402,3
403,3
404,3
405,3
406,4
407,4
408,3
409,3
410,4
411,4
412,3
413,3
414,6
415,4
416,2
417,1
418,4
419,1
420,4
421,4
422,4
423,4
424,4
425,4
426,4
427,1
428,4
429,4
430,3
431,3
432,2
433,6
434,3
435,1
436,4
437,4
438,4
439,3
440,4
441,3
442,3
443,3
444,6
445,3
446,2
447,1
448,3
449,3
450,1
451,5
452,1
453,3
454,3
455,1
456,1
457,3
458,1
459,1
460,3
461,3
462,3
463,4
464,1
465,1
466,3
467,3
468,3
469,4
470,3
471,5
472,5
473,4
474,1
475,1
476,1
477,1
478,1
479,5
480,1
481,1
482,3
483,4
484,3
485,6
486,4
487,4
488,5
489,5
490,5
491,4
492,4
493,5
494,1
495,6
496,5
497,1
498,3
499,2
500,3
501,3
502,2
503,5
504,5
505,3
506,3
507,3
508,1
509,1
510,1
511,3
512,2
513,1
514,6
515,4
516,4
517,3
518,4
519,1
520,1
521,1
522,3
523,3
524,1
525,1
526,4
527,3
528,3
529,1
530,4
531,3
532,3
533,4
534,4
535,4
536,6
537,3
538,3
539,1
540,1
541,1
542,3
543,3
544,3
545,1
546,1
547,1
548,3
549,3
550,3
551,3
552,3
553,3
554,1
555,1
556,4
557,4
558,4
559,5
560,1
561,4
562,4
563,4
564,4
565,5
566,4
567,6
568,3
569,6
570,3
571,1
572,3
573,2
574,5
575,5
576,1
577,1
578,3
579,3
580,3
581,1
582,1
583,1
584,5
585,5
586,5
587,5
588,5
589,6
590,6
591,3
592,6
593,2
594,6
595,6
596,2
597,1
598,3
599,3
600,3
601,4
602,4
603,4
604,2
605,2
606,2
607,2
608,7
609,2
610,6
611,2
612,2
613,4
614,4
615,4
616,6
617,6
618,4
619,4
620,6
621,4
622,4
623,6
624,2
625,4
626,3
627,3
628,4
629,4
630,3
631,3
632,4
633,3
634,6
635,2
636,6
637,3
638,3
639,3
640,3
641,3
642,3
643,3
644,4
645,4
646,3
647,4
648,4
649,3
650,4
651,4
652,3
653,4
654,4
655,3
656,4
657,4
658,3
659,4
660,4
661,1
662,1
663,4
664,4
665,1
666,1
667,3
668,3
669,4
670,3
671,3
